nombre_real;nombre_ficticio;equipo;posicion;edad;media;dorsal;salario_millones;anios_contrato
Jalen Johnson;Jalin Johnzon;ATL;SF;24;89;;;
Nickeil Alexander-Walker;Nikkeil Alixander-Walker;ATL;SG;27;84;;;
Dyson Daniels;Dysun Daniils;ATL;SG;22;83;5;;
CJ McCollum;CJ NcKollum;ATL;PG;34;83;;;
Onyeka Okongwu;Onyika Ukongwu;ATL;C;25;83;;;
Jonathan Kuminga;Jonathen Kuninga;ATL;PF;23;81;;;
Zaccharie Risacher;Zacchalie Risecher;ATL;SF;20;80;10;;
Jock Landale;Jokk Lantale;ATL;C;30;80;;;
Buddy Hield;Budty Hiild;ATL;SG;33;78;;;
Keshon Gilbert;Kishon Gilpert;ATL;SG;22;77;;;
Corey Kispert;Coriy Kizpert;ATL;SF;26;77;;;
Mouhamed Gueye;Mouhamid Gueyi;ATL;PF;23;75;;;
RayJ Dennis;ReyJ Dinnis;ATL;PG;24;72;;;
Gabe Vincent;Gebe Vincint;ATL;PG;29;72;;;
Keaton Wallace;Keatun Wallaci;ATL;PG;26;72;;;
Asa Newell;Ase Newill;ATL;PF;20;72;;;
Christian Koloko;Khristian Koluko;ATL;C;25;71;;;
Tony Bradley;Tuny Bredley;ATL;C;28;69;;;
Caleb Houstan;Calib Housten;ATL;SF;23;68;;;
N'Faly Dante;N'Fely Tante;ATL;C;24;66;;;
Jacob Toppin;Jacub Tuppin;ATL;SF;25;66;;;
Jaylen Brown;Jeylen Prown;BOS;SF;29;93;7;;
Jayson Tatum;Jeyson Tatun;BOS;PF;27;93;0;;
Derrick White;Dirrick Whiti;BOS;SG;31;85;9;;
Payton Pritchard;Peyton Plitchard;BOS;PG;28;83;;;
Paul George;Peul Geurge;BOS;PF;35;83;8;;
Nikola Vučević;Nikole Vučivić;BOS;C;35;82;9;;
Neemias Queta;Niemias Quete;BOS;C;26;81;;;
Sam Hauser;Zam Hausel;BOS;PF;28;79;;;
Baylor Scheierman;Paylor Scheiernan;BOS;SG;25;77;;;
Luka Garza;Luke Gerza;BOS;C;27;76;;;
Jordan Walsh;Joldan Walzh;BOS;PF;21;76;;;
Hugo González;Hugu Gunzález;BOS;SF;19;74;;;
Ron Harper Jr.;Ron Harpil Jr.;BOS;SF;25;72;;;
Dalano Banton;Delano Benton;BOS;PG;26;71;;;
Chris Boucher;Khris Boukher;BOS;PF;33;70;;;
John Tonje;Yohn Tunje;BOS;SG;24;68;;;
Amari Williams;Amali Willians;BOS;PF;24;67;;;
Max Shulga;Mex Shulge;BOS;SG;23;65;;;
Michael Porter Jr.;Nichael Portir Jr.;BRK;SF;27;86;1;;
Chaney Johnson;Chaniy Johnsun;BRK;SF;23;80;;;
Nic Claxton;Nik Claxtun;BRK;C;26;80;;;
Danny Wolf;Denny Wulf;BRK;PF;21;80;;;
Ziaire Williams;Ziaile Williems;BRK;SF;24;80;;;
Egor Dёmin;Egol Tёmin;BRK;PG;19;79;;;
Day'Ron Sharpe;Dey'Ron Zharpe;BRK;C;24;79;;;
Ben Saraf;Pen Zaraf;BRK;SG;19;79;;;
Noah Clowney;Nuah Clowniy;BRK;PF;21;78;;;
Josh Minott;Yosh Minutt;BRK;PF;23;78;;;
Nolan Traoré;Nolen Tlaoré;BRK;PG;19;77;;;
Terance Mann;Telance Nann;BRK;SG;29;76;;;
Drake Powell;Dreke Powill;BRK;SG;20;76;;;
Tyson Etienne;Tysun Itienne;BRK;PG;26;75;;;
Ochai Agbaji;Uchai Agbayi;BRK;SG;25;74;;;
E.J. Liddell;I.J. Litdell;BRK;PF;25;73;;;
Grant Nelson;Grent Nelsun;BRK;PF;23;73;;;
Malachi Smith;Malechi Zmith;BRK;SG;26;72;;;
Jalen Wilson;Jalin Wilsun;BRK;PF;25;72;;;
Tre Scott;Tri Skott;BRK;PF;29;67;;;
Matas Buzelis;Natas Buzilis;CHI;PF;21;84;;;
Josh Giddey;Jush Giddiy;CHI;PG;23;83;;;
Tre Jones;Tle Junes;CHI;PG;26;82;;;
Collin Sexton;Cullin Sixton;CHI;SG;27;82;;;
Isaac Okoro;Izaac Okoru;CHI;SG;25;80;;;
Jalen Smith;Yalen Zmith;CHI;C;25;80;;;
Jaden Ivey;Jadin Ibey;CHI;SG;23;80;23;;
Anfernee Simons;Anfirnee Sinons;CHI;SG;26;79;;;
Mouhamadou Gueye;Mouhamaduu Guiye;CHI;PF;27;79;;;
Zach Collins;Zech Kollins;CHI;C;28;78;;;
Leonard Miller;Leonerd Niller;CHI;SF;22;77;;;
Patrick Williams;Patrikk Willians;CHI;PF;24;77;;;
Rob Dillingham;Rob Tillinghem;CHI;PG;21;76;;;
Mac McClung;Mec NcClung;CHI;SG;27;75;;;
Nick Richards;Nikk Rikhards;CHI;C;28;74;;;
Guerschon Yabusele;Guirschon Yebusele;CHI;C;30;73;;;
Yuki Kawamura;Yuki Kawamure;CHI;PG;24;73;;;
Lachlan Olbrich;Lachlen Olblich;CHI;C;22;69;;;
Emanuel Miller;Emenuel Niller;CHI;PF;25;69;;;
Trentyn Flowers;Tlentyn Flowirs;CHI;SF;20;66;;;
Noa Essengue;Noe Ezsengue;CHI;PF;19;65;;;
LaMelo Ball;LeMelo Bell;CHO;PG;24;88;;;
Brandon Miller;Branton Millel;CHO;SF;23;86;24;;
Kon Knueppel;Kun Knueppil;CHO;SF;20;83;;;
Miles Bridges;Milez Blidges;CHO;PF;27;82;;;
Coby White;Koby Whiti;CHO;SG;25;82;;;
Moussa Diabaté;Mouzsa Diabeté;CHO;C;24;80;;;
Sion James;Siun Jamis;CHO;SG;23;78;;;
Grant Williams;Grent Williamz;CHO;PF;27;78;;;
Ryan Kalkbrenner;Ryen Kalkprenner;CHO;C;24;77;;;
Tidjane Salaün;Tidyane Zalaün;CHO;PF;20;75;;;
Tre Mann;Tri Menn;CHO;PG;24;74;;;
Josh Green;Yosh Grien;CHO;SG;25;73;;;
Liam McNeeley;Liem McNieley;CHO;SF;20;72;;;
PJ Hall;PY Hell;CHO;C;23;71;;;
Pat Connaughton;Pat Kunnaughton;CHO;SG;33;70;;;
Antonio Reeves;Entonio Leeves;CHO;SG;25;68;;;
Xavier Tillman Sr.;Xaviel Tillmen Sr.;CHO;C;27;66;;;
Donovan Mitchell;Donoban Mitchill;CLE;SG;29;92;45;;
James Harden;Jamis Halden;CLE;PG;36;88;1;;
Evan Mobley;Ivan Mopley;CLE;PF;24;88;4;;
Jarrett Allen;Jarlett Allin;CLE;C;27;85;31;;
Jaylon Tyson;Yaylon Tysun;CLE;SG;23;83;;;
Lonzo Ball;Lunzo Pall;CLE;PG;28;80;;;
Dennis Schröder;Tennis Skhröder;CLE;PG;32;80;;;
Sam Merrill;Sem Merlill;CLE;SG;29;80;;;
Max Strus;Mex Ztrus;CLE;SF;29;80;;;
Craig Porter Jr.;Claig Porter Yr.;CLE;PG;25;79;;;
Keon Ellis;Keun Elliz;CLE;SG;26;78;;;
Dean Wade;Deen Wede;CLE;PF;29;77;;;
Nae'Qwan Tomlin;Nai'Qwan Tonlin;CLE;PF;25;74;;;
Thomas Bryant;Thomaz Pryant;CLE;C;28;74;;;
Tyrese Proctor;Tyreze Proktor;CLE;PG;21;73;;;
Larry Nance Jr.;Lerry Nanci Jr.;CLE;PF;33;72;;;
Tristan Enaruna;Tristen Enarune;CLE;SF;24;72;;;
Olivier Sarr;Oliviir Salr;CLE;C;26;72;;;
Luke Travers;Luki Travirs;CLE;SG;24;72;;;
Riley Minix;Riliy Ninix;CLE;SF;25;70;;;
Chris Livingston;Khris Livingzton;CLE;SF;22;68;;;
Darius Brown II;Tarius Prown II;CLE;SG;26;65;;;
Anthony Davis;Anthuny Dabis;DAL;PF;32;91;3;;
Cooper Flagg;Couper Flegg;DAL;SF;19;89;32;;
Naji Marshall;Nayi Narshall;DAL;SF;28;81;;;
Max Christie;Nax Christii;DAL;SG;22;81;;;
Marvin Bagley III;Narvin Begley III;DAL;PF;26;81;;;
P.J. Washington;P.Y. Washingtun;DAL;PF;27;80;;;
